306,305,6172.859224,15,KERNEL_WRITE,19
307,0,6172.860636,15,KERNEL_WRITE,19
308,307,6172.860730,15,KERNEL_WRITE,19
309,0,6172.862142,15,KERNEL_WRITE,19
310,309,6172.862236,15,KERNEL_WRITE,19
311,0,6172.863648,15,KERNEL_WRITE,19
312,311,6172.863742,15,KERNEL_WRITE,19
313,0,6172.865154,15,KERNEL_WRITE,19
314,313,6172.865248,15,KERNEL_WRITE,19
315,0,6172.866659,15,KERNEL_WRITE,19
316,315,6172.866754,15,KERNEL_WRITE,19
317,0,6172.868165,15,KERNEL_WRITE,19
318,317,6172.868259,15,KERNEL_WRITE,19
319,0,6172.869671,15,KERNEL_WRITE,19
320,319,6172.869765,15,KERNEL_WRITE,19
321,0,6172.871177,15,KERNEL_WRITE,19
322,321,6172.871271,15,KERNEL_WRITE,19
323,0,6172.872683,15,KERNEL_WRITE,19
324,323,6172.872777,15,KERNEL_WRITE,19
325,0,6172.874189,15,KERNEL_WRITE,19
326,325,6172.874283,15,KERNEL_WRITE,19
327,0,6172.875695,15,KERNEL_WRITE,19
328,327,6172.875789,15,KERNEL_WRITE,19
329,0,6172.877201,15,KERNEL_WRITE,19
330,329,6172.877295,15,KERNEL_WRITE,19
331,0,6172.878707,15,KERNEL_WRITE,19
332,331,6172.878801,15,KERNEL_WRITE,19
333,0,6172.880212,15,KERNEL_WRITE,19
334,333,6172.880307,15,KERNEL_WRITE,19
335,0,6172.881718,15,KERNEL_WRITE,19
336,335,6172.881812,15,KERNEL_WRITE,19
337,0,6172.883224,15,KERNEL_WRITE,19
338,337,6172.883318,15,KERNEL_WRITE,19
339,0,6172.884730,15,KERNEL_WRITE,19
340,339,6172.884824,15,KERNEL_WRITE,19
341,0,6172.886236,15,KERNEL_WRITE,19
342,341,6172.886330,15,KERNEL_WRITE,19
343,0,6172.887742,15,KERNEL_WRITE,19
344,343,6172.887836,15,KERNEL_WRITE,19
345,0,6172.889248,15,KERNEL_WRITE,19
346,345,6172.889342,15,KERNEL_WRITE,19
347,0,6172.890754,15,KERNEL_WRITE,19
348,347,6172.890848,15,KERNEL_WRITE,19
349,0,6172.892259,15,KERNEL_WRITE,19
350,349,6172.892354,15,KERNEL_WRITE,19
351,0,6172.893765,15,KERNEL_WRITE,19
352,351,6172.893859,15,KERNEL_WRITE,19
353,0,6172.895271,15,KERNEL_WRITE,19
354,353,6172.895365,15,KERNEL_WRITE,19
355,0,6172.896777,15,KERNEL_WRITE,19
356,355,6172.896871,15,KERNEL_WRITE,19
357,0,6172.898283,15,KERNEL_WRITE,19
358,357,6172.898377,15,KERNEL_WRITE,19
359,0,6172.899789,15,KERNEL_WRITE,19
360,359,6172.899883,15,KERNEL_WRITE,19
361,0,6172.901295,15,KERNEL_WRITE,19
362,361,6172.901389,15,KERNEL_WRITE,19
363,0,6172.902801,15,KERNEL_WRITE,19
364,363,6172.902895,15,KERNEL_WRITE,19
365,0,6172.904307,15,KERNEL_WRITE,19
366,365,6172.904401,15,KERNEL_WRITE,19
367,0,6172.905812,15,KERNEL_WRITE,19
368,367,6172.905907,15,KERNEL_WRITE,19
369,0,6172.907318,15,KERNEL_WRITE,19
370,369,6172.907412,15,KERNEL_WRITE,19
371,0,6172.908824,15,KERNEL_WRITE,19
372,371,6172.908918,15,KERNEL_WRITE,19
373,0,6172.910330,15,KERNEL_WRITE,19
374,373,6172.910424,15,KERNEL_WRITE,19
375,0,6172.911836,15,KERNEL_WRITE,19
376,375,6172.911930,15,KERNEL_WRITE,19
377,0,6172.913342,15,KERNEL_WRITE,19
378,377,6172.913436,15,KERNEL_WRITE,19
379,0,6172.914848,15,KERNEL_WRITE,19
380,379,6172.914942,15,KERNEL_WRITE,19
381,0,6172.916354,15,KERNEL_WRITE,19
382,381,6172.916448,15,KERNEL_WRITE,19
383,0,6172.917859,15,KERNEL_WRITE,19
384,383,6172.917954,15,KERNEL_WRITE,19
385,0,6172.919365,15,KERNEL_WRITE,19
386,385,6172.919459,15,KERNEL_WRITE,19
387,0,6172.920871,15,KERNEL_WRITE,19
388,387,6172.920965,15,KERNEL_WRITE,19
