edge_from,edge_to,scores,labels
767,1409,1.1357077482898603e-06,-1
767,1410,1.510408878857561e-06,-1
937,1479,0.0004540297668427229,-1
922,1479,6.736619525327114e-06,-1
938,1479,0.0004679942794609815,-1
804,1242,1.7565150756126968e-07,-1
838,1242,0.00010219981049885973,-1
956,1426,4.917309979646234e-06,-1
956,1429,1.2537681868707296e-05,-1
830,1472,4.3867107706319075e-06,-1
831,1472,1.153517314378405e-05,-1
830,1457,2.523358489270322e-06,-1
691,1099,0.00017343925719615072,-1
754,1378,1.7314063143203384e-06,-1
754,1377,1.3283413863973692e-05,-1
972,1264,0.019528578966856003,-1
973,1264,5.328320185071789e-05,-1
837,1812,8.498704846715555e-05,-1
320,1171,5.802285159006715e-06,-1
287,1171,0.014022878371179104,-1
921,1185,0.00014004050171934068,-1
73,1117,0.00129695946816355,-1
695,1330,0.00035971435136161745,-1
845,1430,5.826145297760377e-06,-1
848,1430,2.8275175623093673e-07,-1
849,1430,8.194682550310972e-07,-1
211,1127,3.449836754043645e-07,-1
320,1205,2.759769586191396e-07,-1
298,1171,5.247597800916992e-05,-1
311,1171,0.00010477241448825225,1
298,1184,1.8806211983246612e-06,-1
656,1352,5.988535122014582e-05,-1
828,1138,5.648325327456405e-07,-1
829,1140,4.289184118988487e-07,-1
807,1140,8.245842195719888e-07,-1
708,1351,1.1878674968102132e-06,-1
709,1352,6.966387445572764e-06,-1
701,1352,5.649958893627627e-06,-1
847,1440,0.00036687569809146225,-1
864,1430,8.066420491559256e-07,-1
850,1430,0.00011487595475045964,-1
865,1430,9.619952834327705e-08,-1
864,1440,6.4423243202327285e-06,-1
865,1440,1.286211954720784e-07,-1
866,1441,3.345445293234661e-05,2
895,1473,5.320072887116112e-06,-1
592,1103,0.0017333340365439653,-1
874,1458,0.00028175723855383694,-1
820,1426,9.676573426986579e-07,-1
820,1428,3.2640493827784667e-06,-1
822,1428,2.387349979926512e-07,-1
820,1427,2.2239819372771308e-05,-1
793,1345,0.0001552404573885724,-1
794,1345,4.726158658741042e-05,-1
865,1412,1.0042702314194685e-07,-1
864,1412,0.0002978857373818755,-1
866,1415,5.44386148249032e-06,-1
749,1674,1.4748703733857838e-06,-1
781,1202,9.606970508002632e-08,-1
691,1123,0.0005882694385945797,-1
933,1482,2.0613695994597947e-07,-1
847,1425,8.528093167115003e-05,-1
866,1424,1.4726045094448637e-07,-1
844,1427,1.3345480510906782e-05,-1
827,1427,2.1755329271400115e-06,-1
844,1426,3.396766260266304e-05,-1
827,1428,5.6614476307004225e-06,-1
777,1424,1.374736626758022e-07,-1
778,1424,1.1000904009961232e-07,-1
777,1423,1.7080659745261073e-05,-1
778,1423,1.635093980212332e-07,-1
798,1441,1.0192533409281168e-05,-1
112,1184,0.00013447449600789696,-1
781,1423,9.845773973893301e-08,-1
946,1266,5.311031418386847e-05,-1
946,1265,2.548466227381141e-06,-1
946,1258,0.0006350532057695091,-1
932,1258,2.8322722300799796e-06,-1
796,1216,2.8082786229788326e-06,-1
736,1412,0.0014489636523649096,-1
737,1413,1.3455664316097682e-07,-1
901,1218,2.0848044641752494e-06,-1
828,1238,1.362909642921295e-07,-1
776,1138,1.0544715678406646e-07,-1
924,1256,5.72448261664249e-05,-1
833,1173,1.0624986401808201e-07,-1
915,1170,0.047801777720451355,-1
804,1239,1.0790556359552284e-07,-1
836,1242,3.6557310068019433e-06,-1
879,1330,0.005470922216773033,-1
710,1143,0.9978005290031433,-1
783,1202,2.8284102882025763e-07,-1
945,1461,1.5231802308335318e-06,-1
911,1482,1.2455500382202445e-06,-1
839,1185,0.0001606929872650653,-1
876,1400,0.00012125815555918962,-1
877,1400,1.372377937514102e-06,-1
876,1410,5.008521384297637e-06,-1
877,1410,3.2688215014786692e-06,-1
877,1411,3.1048357413965277e-06,-1
856,1411,2.149014790120418e-06,-1
902,1424,4.886499027634272e-07,-1
271,1141,1.537358002678957e-05,-1
835,1450,5.677483159161056e-07,-1
218,1236,4.184428689768538e-05,-1
357,1217,1.0752300113381352e-05,-1
840,1125,3.27691959682852e-05,-1
767,1354,9.515868441667408e-05,-1
767,1356,5.696575044566998e-06,-1
768,1355,6.922934971953509e-06,-1
767,1357,0.00022859341697767377,-1
737,1345,3.9397386899509e-06,-1
669,1154,0.0007431973936036229,-1
913,1462,9.040649274538737e-06,-1
821,1140,1.0694112972942094e-07,-1
649,1170,0.0005404966650530696,-1
777,1381,1.4449746231548488e-05,-1
778,1381,6.276188651099801e-05,-1
798,1381,7.34325737994368e-07,-1
